country_Name,city,total_cases
USA,"
New York ","277,445 "
USA,"
New Jersey ","102,196 "
USA,"
Massachusetts ","50,969 "
USA,"
California ","41,338 "
USA,"
Pennsylvania ","40,149 "
USA,"
Illinois ","39,658 "
USA,"
Michigan ","36,641 "
USA,"
Florida ","30,839 "
USA,"
Louisiana ","26,140 "
USA,"
Connecticut ","23,921 "
USA,"
Texas ","23,170 "
USA,"
Georgia ","22,695 "
USA,"
Maryland ","17,766 "
USA,"
Ohio ","15,169 "
USA,"
Indiana ","13,680 "
USA,"
Washington ","13,176 "
USA,"
Virginia ","12,366 "
USA,"
Colorado ","12,256 "
USA,"
Tennessee ","8,726 "
USA,"
North Carolina ","8,719 "
USA,"
Rhode Island ","7,129 "
USA,"
Missouri ","6,766 "
USA,"
 Arizona ","6,045 "
USA,"
Alabama ","6,032 "
USA,"
Mississippi ","5,718 "
USA,"
Wisconsin ","5,356 "
USA,"
South Carolina ","5,070 "
USA,"
Nevada ","4,539 "
USA,"
Iowa ","4,445 "
USA,"
Utah ","3,782 "
USA,"
Kentucky ","3,779 "
USA,"
District Of Columbia ","3,699 "
USA,"
Delaware ","3,442 "
USA,"
Minnesota ","3,185 "
USA,"
Oklahoma ","3,121 "
USA,"
Kansas ","2,966 "
USA,"
Arkansas ","2,829 "
USA,"
New Mexico ","2,521 "
USA,"
Nebraska ","2,421 "
USA,"
Oregon ","2,177 "
USA,"
South Dakota ","2,040 "
USA,"
Idaho ","1,870 "
USA,"
New Hampshire ","1,720 "
USA,"
West Virginia ","1,010 "
USA,"
Maine ",965 
USA,"
Vermont ",843 
USA,"
North Dakota ",748 
USA,"
Hawaii ",601 
USA,"
Wyoming ",473 
USA,"
Montana ",445 
USA,"
Alaska ",339 
USA,"
Northern Mariana Islands ",14 
USA,"
Puerto Rico ","1,307 "
USA,"
United States Virgin Islands ",54 
USA,"
Veteran Affairs ","6,528 "
USA,"
US Military ","6,213 "
USA,"
Navajo Nation ","1,360 "
USA,"
Federal Prisons ",977 
USA,"
Grand Princess Ship ",103 
USA,"
Wuhan Repatriated ",3 
USA,"
Diamond Princess Ship ",46 
USA,,"929,841"
